"","OysterID","SampleEventID","ShellHeight","ShellLength","ShellWidth","TotalWeight","TarePanWeight","TissueWetWeight","ShellWetWeight","TissueDryWeight","ShellDryWeight","DataStatus","DateEntered","EnteredBy","DateProofed","ProofedBy","DateCompleted","CompletedBy","OldSampleNumber","Comments","AdminNotes"
"2064","ABCC2305-15","ABCOLL_20230503_1_0011_1",69.28,53.68,34.13,95.74,1.03,10.69,77.27,2.67,70.53,"Completed","2023-05-26 00:00:00","Abigail Ladner","2024-01-09 00:00:00","Isaac Sencer","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2065","ABCC2305-16","ABCOLL_20230503_1_0011_1",60.2,47.1,25.8,59.06,1,4.96,51.18,1.72,48.37,"Completed","2023-05-26 00:00:00","Abigail Ladner","2024-01-09 00:00:00","Isaac Sencer","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2066","ABCC2305-17","ABCOLL_20230503_1_0011_1",61.08,52.24,37.93,78.52,1.03,5.75,68.44,1.95,65.04,"Completed","2023-05-26 00:00:00","Abigail Ladner","2024-01-09 00:00:00","Isaac Sencer","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2067","ABCC2305-18","ABCOLL_20230503_1_0011_1",63.36,55.94,31.27,52.66,1.01,5.9,41.7,1.99,40.39,"Completed","2023-05-26 00:00:00","Abigail Ladner","2024-01-09 00:00:00","Isaac Sencer","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2068","ABCC2305-19","ABCOLL_20230503_1_0024_1",63.9,51.14,25.09,63.11,0.99,6.53,50.9,1.91,48.16,"Completed","2023-05-26 00:00:00","Abigail Ladner","2024-01-09 00:00:00","Isaac Sencer","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2069","ABCC2305-20","ABCOLL_20230503_1_0024_1",79.12,60.2,25.77,96.25,1.02,15.44,74.24,3.06,69.79,"Completed","2023-05-26 00:00:00","Abigail Ladner","2024-01-09 00:00:00","Isaac Sencer","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2070","ABCC2305-21","ABCOLL_20230503_1_0024_1",57.73,49.56,25.76,48.04,1.03,5.5,40.77,1.85,38.76,"Completed","2023-05-26 00:00:00","Abigail Ladner","2024-01-09 00:00:00","Isaac Sencer","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2071","ABCC2305-22","ABCOLL_20230503_1_0024_1",66.41,44.09,25.71,53.01,1,5.64,41.58,1.76,38.09,"Completed","2023-05-26 00:00:00","Abigail Ladner","2024-01-09 00:00:00","Isaac Sencer","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2072","ABCC2305-23","ABCOLL_20230503_1_0024_1",55.21,44.82,28.97,48.52,1.04,4.89,41.3,1.69,38.03,"Completed","2023-05-26 00:00:00","Abigail Ladner","2024-01-09 00:00:00","Isaac Sencer","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2073","ABCC2305-24","ABCOLL_20230503_1_0024_1",66.46,55.87,31.42,81.5,1.04,7.99,64.24,2.15,61.33,"Completed","2023-05-26 00:00:00","Abigail Ladner","2024-01-09 00:00:00","Isaac Sencer","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2074","ABCC2305-25","ABCOLL_20230503_1_0024_1",77.59,49.6,29.72,84.02,1.04,8.47,68.24,2.51,65.18,"Completed","2023-05-26 00:00:00","Abigail Ladner","2024-01-09 00:00:00","Isaac Sencer","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2075","ABEC2305-07","ABCOLL_20230503_1_0091_1",73.77,51.82,38.26,90.65,0.98,16.15,NA,4.26,64.47,"Completed","2023-05-26 00:00:00","Abigail Ladner","2024-01-09 00:00:00","Isaac Sencer","2025-02-14 00:00:00","Matthew Davis",NA,"ShellWetWeight not recorded",NA
"2076","ABEC2305-08","ABCOLL_20230503_1_0091_1",70.34,55.03,33.08,86.81,0.98,11.63,66.5,2.92,62.01,"Completed","2023-05-26 00:00:00","Abigail Ladner","2024-01-09 00:00:00","Isaac Sencer","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2077","ABEC2305-09","ABCOLL_20230503_1_0091_1",95.19,71.06,40.5,195.64,0.97,20.04,159.65,5.03,146.13,"Completed","2023-05-26 00:00:00","Abigail Ladner","2024-01-09 00:00:00","Isaac Sencer","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2078","ABEC2305-10","ABCOLL_20230503_1_0091_1",80.68,61.62,33.64,115.02,0.96,10.35,94.85,2.64,90.25,"Completed","2023-05-26 00:00:00","Abigail Ladner","2024-01-09 00:00:00","Isaac Sencer","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2079","ABEC2305-11","ABCOLL_20230503_1_0091_1",75.19,58.53,32.05,102.86,0.99,14.81,77.3,3.27,70.95,"Completed","2023-05-26 00:00:00","Abigail Ladner","2024-01-09 00:00:00","Isaac Sencer","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2080","ABEC2305-12","ABCOLL_20230503_1_0091_1",78.64,57.79,30.57,81.06,0.99,10.14,62.52,2.88,60.62,"Completed","2023-05-26 00:00:00","Abigail Ladner","2024-01-09 00:00:00","Isaac Sencer","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2081","ABEC2305-13","ABCOLL_20230503_1_0096_1",61.08,42.91,18.74,29.5,1.01,6.83,20.98,2.04,19.5,"Completed","2023-05-26 00:00:00","Abigail Ladner","2024-01-09 00:00:00","Isaac Sencer","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2082","ABEC2305-14","ABCOLL_20230503_1_0096_1",76.72,59.81,33.51,90.81,0.99,16.09,67.87,3.36,64.55,"Completed","2023-05-26 00:00:00","Abigail Ladner","2024-01-09 00:00:00","Isaac Sencer","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2083","ABEC2305-15","ABCOLL_20230503_1_0096_1",68.33,60.8,21.61,60.75,0.98,10.7,46.58,2.91,44.13,"Completed","2023-05-26 00:00:00","Abigail Ladner","2024-01-09 00:00:00","Isaac Sencer","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2084","ABEC2305-16","ABCOLL_20230503_1_0096_1",67.51,50.77,26.37,51.03,0.99,7.12,38.3,2.16,35.69,"Completed","2023-05-26 00:00:00","Abigail Ladner","2024-01-09 00:00:00","Isaac Sencer","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2085","ABEC2305-17","ABCOLL_20230503_1_0096_1",93.58,64.7,37.09,127.4,0.99,13.1,104.64,3.16,96.63,"Completed","2023-05-26 00:00:00","Abigail Ladner","2024-01-09 00:00:00","Isaac Sencer","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2086","ABEC2305-18","ABCOLL_20230503_1_0096_1",71.18,52.77,35.26,81.79,0.98,11.62,66.22,3,61.12,"Completed","2023-05-26 00:00:00","Abigail Ladner","2024-01-09 00:00:00","Isaac Sencer","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2087","ABEC2305-19","ABCOLL_20230503_1_0096_1",71.75,45.9,30.66,79.5,0.98,8.83,66.46,2.32,60.58,"Completed","2023-05-26 00:00:00","Abigail Ladner","2024-01-09 00:00:00","Isaac Sencer","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2088","ABEC2305-20","ABCOLL_20230503_1_0096_1",94.63,61.87,32.46,86.41,0.99,18.15,59.64,4.26,54.24,"Completed","2023-05-26 00:00:00","Abigail Ladner","2024-01-09 00:00:00","Isaac Sencer","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2089","ABEC2305-21","ABCOLL_20230503_1_0096_1",63.75,48.87,26.6,62.26,0.99,10.27,50.03,2.92,48.57,"Completed","2023-05-26 00:00:00","Abigail Ladner","2024-01-09 00:00:00","Isaac Sencer","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2090","ABEC2305-22","ABCOLL_20230503_1_0096_1",56.27,43.06,32.42,50.3,1,7.82,38.93,2.49,36.65,"Completed","2023-05-26 00:00:00","Abigail Ladner","2024-01-09 00:00:00","Isaac Sencer","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2091","ABEC2305-23","ABCOLL_20230503_1_0096_1",88.13,68.47,34.73,135.42,1.01,13.77,109.82,3.59,102.02,"Completed","2023-05-26 00:00:00","Abigail Ladner","2024-01-09 00:00:00","Isaac Sencer","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2092","ABEC2305-24","ABCOLL_20230503_1_0096_1",96.72,64.88,44.61,143.74,1.01,16.43,117.71,4.06,104.09,"Completed","2023-05-26 00:00:00","Abigail Ladner","2024-01-09 00:00:00","Isaac Sencer","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2093","ABWC2309-18","ABCOLL_20230905_1_0158_1",50.91,50.07,19.04,39.96,1.01,6.27,29.95,1.92,28.14,"Completed","2024-01-30 00:00:00","Sarah Paulsen","2024-02-15 00:00:00","James Heiser","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2094","ABCC2309-07","ABCOLL_20230905_1_0007_1",70.83,58.64,26.65,89.06,0.99,10.64,71.93,2.16,68.99,"Completed","2024-01-30 00:00:00","Sarah Paulsen","2024-02-15 00:00:00","James Heiser","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2095","ABEC2309-24","ABCOLL_20230905_1_0096_1",80.69,54.63,36.78,128.82,0.99,18.1,106.21,2.95,99.57,"Completed","2024-01-30 00:00:00","Sarah Paulsen","2024-02-16 00:00:00","James Heiser","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2096","ABCC2309-11","ABCOLL_20230905_1_0011_1",95.57,68.09,31.46,156.13,1.03,14.73,130.18,3.08,124.27,"Completed","2024-01-30 00:00:00","Sarah Paulsen","2024-02-15 00:00:00","James Heiser","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2097","ABEC2309-22","ABCOLL_20230905_1_0096_1",73.95,70.44,40.81,137.35,1.02,14.71,108.86,2.99,98.96,"Completed","2024-01-30 00:00:00","Sarah Paulsen","2024-02-16 00:00:00","James Heiser","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2098","ABEC2309-07","ABCOLL_20230905_1_0091_1",68.77,54.39,31.27,95.33,0.99,10.83,79.49,2.32,75.25,"Completed","2024-01-30 00:00:00","Sarah Paulsen","2024-02-16 00:00:00","James Heiser","2025-02-14 00:00:00","Matthew Davis",NA,"not all wet tissue kept",NA
"2099","ABEC2309-01","ABCOLL_20230905_1_0091_1",76.98,61.33,34.69,97.44,1.01,13.37,72.79,2.38,65.42,"Completed","2024-01-30 00:00:00","Sarah Paulsen","2024-02-16 00:00:00","James Heiser","2025-02-14 00:00:00","Matthew Davis",NA,"not all wet tissue kept",NA
"2100","ABEC2309-14","ABCOLL_20230905_1_0096_1",90.08,62.35,26.32,85.42,1.01,9.96,58.17,2.57,53.19,"Completed","2024-01-30 00:00:00","Sarah Paulsen","2024-02-16 00:00:00","James Heiser","2025-02-14 00:00:00","Matthew Davis",NA,"not all wet tissue kept; WetWeights do not sum within the expected value",NA
"2101","ABWC2309-24","ABCOLL_20230905_1_0158_1",69.01,48.9,27.56,88.03,0.99,9.49,71.63,2.68,68.55,"Completed","2024-01-30 00:00:00","Sarah Paulsen","2024-02-15 00:00:00","James Heiser","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2102","ABEC2309-12","ABCOLL_20230905_1_0091_1",64.77,41.16,25.72,40.59,0.98,6.26,34.77,2.04,31.05,"Completed","2024-01-30 00:00:00","Sarah Paulsen","2024-02-16 00:00:00","James Heiser","2025-02-14 00:00:00","Matthew Davis",NA,"not all wet tissue kept",NA
"2103","ABEC2309-03","ABCOLL_20230905_1_0091_1",95.98,76.81,41.37,202.3,1,16.28,160.82,3.15,139.7,"Completed","2024-01-30 00:00:00","Sarah Paulsen","2024-02-16 00:00:00","James Heiser","2025-02-14 00:00:00","Matthew Davis",NA,"not all wet tissue kept",NA
"2104","ABCC2309-18","ABCOLL_20230905_1_0024_1",74.51,50.39,28.36,72.77,0.97,11.02,57.17,2.29,52.94,"Completed","2024-01-30 00:00:00","Sarah Paulsen","2024-02-16 00:00:00","James Heiser","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2105","ABWC2309-11","ABCOLL_20230905_1_0158_1",85.17,78.77,53.35,223.1,1.03,11.63,206.48,2.85,192.33,"Completed","2024-01-30 00:00:00","Sarah Paulsen","2024-02-15 00:00:00","James Heiser","2025-02-14 00:00:00","Matthew Davis",NA,"ShellWidth outside expected range",NA
"2106","ABCC2309-12","ABCOLL_20230905_1_0011_1",73.05,57.02,31.44,72.67,1.03,10.35,62.69,2.42,57.08,"Completed","2024-01-30 00:00:00","Sarah Paulsen","2024-02-15 00:00:00","James Heiser","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2107","ABCC2309-14","ABCOLL_20230905_1_0011_1",95.02,59.6,32.88,131.6,0.95,16.4,100.81,2.97,95.35,"Completed","2024-01-30 00:00:00","Sarah Paulsen","2024-02-15 00:00:00","James Heiser","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2108","ABEC2309-20","ABCOLL_20230905_1_0096_1",68.76,48.69,21.09,59.02,1.02,5.79,50.09,1.86,48.67,"Completed","2024-01-30 00:00:00","Sarah Paulsen","2024-02-16 00:00:00","James Heiser","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2109","ABWC2309-03","ABCOLL_20230905_1_0158_1",99.62,71.66,57.36,319.8,2.27,23.07,251.1,5.08,215.34,"Completed","2024-01-30 00:00:00","Sarah Paulsen","2024-02-15 00:00:00","James Heiser","2025-02-14 00:00:00","Matthew Davis",NA,"ShellWidth and TotalWeight outside expected range",NA
"2110","ABEC2309-19","ABCOLL_20230905_1_0096_1",77.08,68.12,29.33,104.2,0.98,13.23,77.65,2.72,66.73,"Completed","2024-01-30 00:00:00","Sarah Paulsen","2024-02-16 00:00:00","James Heiser","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2111","ABEC2309-17","ABCOLL_20230905_1_0096_1",65.87,49.83,21.73,62.67,0.98,7.85,51.87,1.94,48.88,"Completed","2024-01-30 00:00:00","Sarah Paulsen","2024-02-16 00:00:00","James Heiser","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2112","ABEC2309-06","ABCOLL_20230905_1_0091_1",56.26,42.74,21.19,37.97,1.01,5.27,30.43,1.83,29.44,"Completed","2024-01-30 00:00:00","Sarah Paulsen","2024-02-16 00:00:00","James Heiser","2025-02-14 00:00:00","Matthew Davis",NA,"not all wet tissue kept",NA
"2113","ABWC2309-05","ABCOLL_20230905_1_0158_1",85.87,58.98,40.74,172.37,1.02,8.8,151.86,2.35,136.64,"Completed","2024-01-30 00:00:00","Sarah Paulsen","2024-02-15 00:00:00","James Heiser","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2114","ABWC2309-16","ABCOLL_20230905_1_0158_1",74.65,53.35,36.96,134.39,1.02,12.12,108.69,2.61,100.39,"Completed","2024-01-30 00:00:00","Sarah Paulsen","2024-02-15 00:00:00","James Heiser","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2115","ABWC2309-14","ABCOLL_20230905_1_0158_1",76.61,49.11,28.03,94.17,1.03,8.78,77.3,2.56,73.6,"Completed","2024-01-30 00:00:00","Sarah Paulsen","2024-02-15 00:00:00","James Heiser","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2116","ABEC2309-09","ABCOLL_20230905_1_0091_1",91.57,67.21,38.31,151.37,1,11.85,118.19,2.6,103.55,"Completed","2024-01-30 00:00:00","Sarah Paulsen","2024-02-16 00:00:00","James Heiser","2025-02-14 00:00:00","Matthew Davis",NA,"not all wet tissue kept",NA
"2117","ABWC2309-02","ABCOLL_20230905_1_0158_1",69.32,43.31,25.24,67.11,1.03,6.01,54.91,1.96,52.48,"Completed","2024-01-30 00:00:00","Sarah Paulsen","2024-02-15 00:00:00","James Heiser","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2118","ABEC2309-10","ABCOLL_20230905_1_0091_1",55.14,44.15,25.74,48.58,1.01,4.77,39.97,1.72,38.22,"Completed","2024-01-30 00:00:00","Sarah Paulsen","2024-02-16 00:00:00","James Heiser","2025-02-14 00:00:00","Matthew Davis",NA,"not all wet tissue kept",NA
"2119","ABCC2309-21","ABCOLL_20230905_1_0024_1",108.03,66.79,40.08,184.01,0.99,23.86,136.77,3.83,125.12,"Completed","2024-01-30 00:00:00","Sarah Paulsen","2024-02-16 00:00:00","James Heiser","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2120","ABWC2309-17","ABCOLL_20230905_1_0158_1",88.02,63.96,40.84,199.72,1.03,18.22,154.72,3.2,141.37,"Completed","2024-01-30 00:00:00","Sarah Paulsen","2024-02-15 00:00:00","James Heiser","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2121","ABCC2309-08","ABCOLL_20230905_1_0007_1",75.11,57.54,30.68,113.84,0.98,12.91,89.37,2.99,85.46,"Completed","2024-01-30 00:00:00","Sarah Paulsen","2024-02-15 00:00:00","James Heiser","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2122","ABEC2309-25","ABCOLL_20230905_1_0096_1",86.2,73.77,31.01,138.66,0.98,15.64,111.22,2.93,105.66,"Completed","2024-01-30 00:00:00","Sarah Paulsen","2024-02-16 00:00:00","James Heiser","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2123","ABCC2309-02","ABCOLL_20230905_1_0007_1",65.42,53.89,28.24,86.3,1.02,8.31,70.44,2.12,67.82,"Completed","2024-01-30 00:00:00","Sarah Paulsen","2024-02-15 00:00:00","James Heiser","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2124","ABCC2309-04","ABCOLL_20230905_1_0007_1",56.28,47.59,29.8,57.59,1.01,6.12,49.16,1.83,47.44,"Completed","2024-01-30 00:00:00","Sarah Paulsen","2024-02-15 00:00:00","James Heiser","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2125","ABCC2309-10","ABCOLL_20230905_1_0011_1",83.07,54.9,38.43,106.65,1.01,8.24,96.93,2.05,87.88,"Completed","2024-01-30 00:00:00","Sarah Paulsen","2024-02-15 00:00:00","James Heiser","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2126","ABEC2309-15","ABCOLL_20230905_1_0096_1",58.11,56.79,28.94,63.09,1.02,4.86,52.82,1.73,48.2,"Completed","2024-01-30 00:00:00","Sarah Paulsen","2024-02-16 00:00:00","James Heiser","2025-02-14 00:00:00","Matthew Davis",NA,"not all wet tissue kept",NA
"2127","ABWC2309-19","ABCOLL_20230905_1_0158_1",76.66,57.05,36.34,133.91,1,16.15,107.98,2.53,98.45,"Completed","2024-01-30 00:00:00","Sarah Paulsen","2024-02-15 00:00:00","James Heiser","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2128","ABWC2309-25","ABCOLL_20230905_1_0158_1",100.24,76.6,53.19,318.8,2.27,22.06,263.1,4.33,240,"Completed","2024-01-30 00:00:00","Sarah Paulsen","2024-02-15 00:00:00","James Heiser","2025-02-14 00:00:00","Matthew Davis",NA,"ShellWidth and TotalWeight outside expected range",NA
"2129","ABCC2309-24","ABCOLL_20230905_1_0024_1",82.79,61.35,26.29,69.55,1.01,11.23,47.95,2.62,44.6,"Completed","2024-01-30 00:00:00","Sarah Paulsen","2024-02-16 00:00:00","James Heiser","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2130","ABCC2309-05","ABCOLL_20230905_1_0007_1",87.71,66.22,35.5,125.15,1.01,11.88,98.98,2.42,95.77,"Completed","2024-01-30 00:00:00","Sarah Paulsen","2024-02-15 00:00:00","James Heiser","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2131","ABCC2309-15","ABCOLL_20230905_1_0011_1",64.94,35.91,25.49,56.33,0.99,8.57,41.61,2.42,38.59,"Completed","2024-01-30 00:00:00","Sarah Paulsen","2024-02-15 00:00:00","James Heiser","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2132","ABWC2308-18","ABCOLL_20230801_1_0158_1",72.08,88.73,38.07,128.37,0.98,13.54,105.42,3.67,102.09,"Completed","2023-09-27 00:00:00","Sarah Paulsen","2024-02-15 00:00:00","Isaac Sencer","2025-02-14 00:00:00","Matthew Davis",NA,"ShellLength outside expected range",NA
"2133","ABCC2308-24","ABCOLL_20230801_1_0024_1",68.58,44.76,20.62,42.18,1,7.6,30.63,1.95,28.52,"Completed","2023-09-27 00:00:00","Sarah Paulsen","2024-02-15 00:00:00","James Heiser","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2134","ABWC2311-10","ABCOLL_20231106_1_0158_1",116.07,70.68,38.03,322.2,1.01,24.8,271.6,5.83,254,"Completed","2023-12-06 00:00:00","Sarah Paulsen","2025-01-23 00:00:00","Sarah Paulsen","2025-02-14 00:00:00","Matthew Davis",NA,"TotalWeight outside expected range",NA
"2135","ABWC2311-08","ABCOLL_20231106_1_0158_1",61.55,42.12,23.39,52.21,1.01,6.39,43.93,2.23,40.94,"Completed","2023-12-06 00:00:00","Sarah Paulsen","2025-01-23 00:00:00","Sarah Paulsen","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2136","ABEC2311-03","ABCOLL_20231106_1_0091_1",79.15,64.4,34.26,158.24,1.01,13.13,129.76,3.34,118.55,"Completed","2023-12-06 00:00:00","Sarah Paulsen","2025-01-23 00:00:00","Sarah Paulsen","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2137","ABEC2311-09","ABCOLL_20231106_1_0091_1",64.43,43.68,24.66,64.6,1.03,5.66,53.82,1.96,51.19,"Completed","2023-12-06 00:00:00","Sarah Paulsen","2025-01-23 00:00:00","Sarah Paulsen","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2138","ABCC2311-07","ABCOLL_20231106_1_0007_1",67.34,49.63,29.6,55.94,1.01,9.02,40.91,2.55,38.9,"Completed","2023-12-06 00:00:00","Sarah Paulsen","2025-01-23 00:00:00","Sarah Paulsen","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2139","ABEC2311-19","ABCOLL_20231106_1_0096_1",66.29,45.46,32.34,100.47,1.02,10.34,77.09,2.65,69.46,"Completed","2023-12-06 00:00:00","Sarah Paulsen","2025-01-23 00:00:00","Sarah Paulsen","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2140","ABWC2311-23","ABCOLL_20231106_1_0158_1",94.63,69.94,52.13,250,0.99,17.51,214.4,4.14,191.98,"Completed","2023-12-06 00:00:00","Sarah Paulsen","2025-01-23 00:00:00","Sarah Paulsen","2025-02-14 00:00:00","Matthew Davis",NA,"ShellWidth outside expected range",NA
"2141","ABEC2311-11","ABCOLL_20231106_1_0091_1",73.14,50.44,31.26,114.81,1.04,12.41,94.33,3.25,90.9,"Completed","2023-12-06 00:00:00","Sarah Paulsen","2025-01-23 00:00:00","Sarah Paulsen","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2142","ABEC2311-01","ABCOLL_20231106_1_0091_1",88.69,75.74,35.63,191.7,1,13.44,164.5,2.8,152.2,"Completed","2023-12-06 00:00:00","Sarah Paulsen","2025-01-23 00:00:00","Sarah Paulsen","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2143","ABEC2311-13","ABCOLL_20231106_1_0096_1",90.31,67.52,32.78,186.02,0.99,13.94,163,3.36,147.36,"Completed","2023-12-06 00:00:00","Sarah Paulsen","2025-01-23 00:00:00","Sarah Paulsen","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2144","ABEC2311-22","ABCOLL_20231106_1_0096_1",96.59,71.39,34.47,169.68,1.01,20.86,138.51,3.92,123.37,"Completed","2023-12-06 00:00:00","Sarah Paulsen","2025-01-23 00:00:00","Sarah Paulsen","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2145","ABCC2311-16","ABCOLL_20231106_1_0011_1",64.81,47.86,28.66,76.67,0.99,8.06,64.16,2.41,61.44,"Completed","2023-12-06 00:00:00","Sarah Paulsen","2025-01-23 00:00:00","Sarah Paulsen","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2146","ABCC2311-20","ABCOLL_20231106_1_0024_1",68.29,51.55,34.48,86.67,1,9.06,73.71,2.47,69.67,"Completed","2023-12-06 00:00:00","Sarah Paulsen","2025-01-23 00:00:00","Sarah Paulsen","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2147","ABEC2311-21","ABCOLL_20231106_1_0096_1",56.79,43.41,20.11,42.73,1,6.7,31.07,1.93,27.55,"Completed","2023-12-06 00:00:00","Sarah Paulsen","2025-01-23 00:00:00","Sarah Paulsen","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2148","ABWC2311-09","ABCOLL_20231106_1_0158_1",64.62,53.96,33.17,91.65,1.01,12.78,73.07,3.07,70.01,"Completed","2023-12-06 00:00:00","Sarah Paulsen","2025-01-23 00:00:00","Sarah Paulsen","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2149","ABEC2306-01","ABCOLL_20230605_1_0091_1",97.57,57.42,33.51,131.35,1.02,15.15,104.47,3.15,96.37,"Completed","2023-07-13 00:00:00","Abigail Ladner","2024-01-09 00:00:00","Isaac Sencer","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2150","ABEC2306-02","ABCOLL_20230605_1_0091_1",77.78,60.15,32.9,71.93,1,10.24,59.89,2.45,53.76,"Completed","2023-07-13 00:00:00","Abigail Ladner","2024-01-09 00:00:00","Isaac Sencer","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2151","ABEC2306-03","ABCOLL_20230605_1_0091_1",72.44,48.45,27.74,85.47,1,7.62,70.58,2.22,67.21,"Completed","2023-07-13 00:00:00","Abigail Ladner","2024-01-09 00:00:00","Isaac Sencer","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2152","ABEC2306-04","ABCOLL_20230605_1_0091_1",85.79,67.94,31.7,136.89,1.01,12.64,111.46,3.4,105.39,"Completed","2023-07-13 00:00:00","Abigail Ladner","2024-01-09 00:00:00","Isaac Sencer","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2153","ABEC2306-05","ABCOLL_20230605_1_0091_1",84.86,67.12,32.45,128.06,1.02,13.78,104.15,3.11,95.66,"Completed","2023-07-13 00:00:00","Abigail Ladner","2024-01-09 00:00:00","Isaac Sencer","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2154","ABEC2306-06","ABCOLL_20230605_1_0091_1",79.16,70.18,31.07,121.86,1.02,11.12,98.98,2.81,94.05,"Completed","2023-07-13 00:00:00","Abigail Ladner","2024-01-09 00:00:00","Isaac Sencer","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2155","ABEC2306-07","ABCOLL_20230605_1_0091_1",60.09,54.2,29.78,87.02,1.02,8.94,70.15,2.36,64.64,"Completed","2023-07-13 00:00:00","Abigail Ladner","2024-01-09 00:00:00","Isaac Sencer","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2156","ABEC2306-08","ABCOLL_20230605_1_0091_1",74.07,61.97,33.36,106.2,0.98,13.47,83.74,3.34,79.1,"Completed","2023-07-13 00:00:00","Abigail Ladner","2024-01-09 00:00:00","Isaac Sencer","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
"2157","ABEC2306-09","ABCOLL_20230605_1_0091_1",68.47,64.13,36.78,103.97,1,13.61,80.21,2.9,74.22,"Completed","2023-07-13 00:00:00","Abigail Ladner","2024-01-09 00:00:00","Isaac Sencer","2025-02-14 00:00:00","Matthew Davis",NA,NA,NA
